Module 1 : Web Designing,,,
,HTML3,,
,, What is HTML?,
,,,Dummy Data
,,What is a Web Browser?,
,,What are Versions of HTML?,
,,What can you Do with HTML?,
,,HTML Development Environments,
,,Writing Code with a Text Editor,
,,,HTML Development Environments
,,,Writing Code with a Text Editor
,,,
"Module 2 : Bootstrap Framework Latest Version (HTML, CSS, and JS Library)",,,
,HTML4,,
,,What is HTML?,
,,What is a Web Browser?,
,,What are Versions of HTML?,
,,What can you Do with HTML?,
,,HTML Development Environments,
,,Writing Code with a Text Editor,
,,,HTML Development Environments
,,,Writing Code with a Text Editor
